LGA_2018,Region,Time,Value,,
10050,Albury (C),2001,45265,,
10050,Albury (C),2002,45816,,
10050,Albury (C),2003,46180,,
10050,Albury (C),2004,46505,,
10050,Albury (C),2005,47004,,
10050,Albury (C),2006,47566,,
10050,Albury (C),2007,48140,,
10050,Albury (C),2008,48518,,
10050,Albury (C),2009,48814,,
10050,Albury (C),2010,49222,,
10050,Albury (C),2011,49451,,
10050,Albury (C),2012,49785,,
10050,Albury (C),2013,50338,,
10050,Albury (C),2014,50990,,
10050,Albury (C),2015,51486,,
10050,Albury (C),2016,52171,,
10050,Albury (C),2017,52989,,
10050,Albury (C),2018,53767,,
10130,Armidale Regional (A),2001,29058,,
10130,Armidale Regional (A),2002,28920,,
10130,Armidale Regional (A),2003,28739,,
10130,Armidale Regional (A),2004,28524,,
10130,Armidale Regional (A),2005,28459,,
10130,Armidale Regional (A),2006,28479,,
10130,Armidale Regional (A),2007,28599,,
10130,Armidale Regional (A),2008,28923,,
10130,Armidale Regional (A),2009,29281,,
10130,Armidale Regional (A),2010,29524,,
10130,Armidale Regional (A),2011,29678,,
10130,Armidale Regional (A),2012,29836,,
10130,Armidale Regional (A),2013,29983,,
10130,Armidale Regional (A),2014,30085,,
10130,Armidale Regional (A),2015,30193,,
10130,Armidale Regional (A),2016,30313,,
10130,Armidale Regional (A),2017,30617,,
10130,Armidale Regional (A),2018,30707,,
10250,Ballina (A),2001,37856,,
10250,Ballina (A),2002,38417,,
10250,Ballina (A),2003,38870,,
10250,Ballina (A),2004,39120,,
10250,Ballina (A),2005,39305,,
10250,Ballina (A),2006,39537,,
10250,Ballina (A),2007,39824,,
10250,Ballina (A),2008,40020,,
10250,Ballina (A),2009,40295,,
10250,Ballina (A),2010,40571,,
10250,Ballina (A),2011,40747,,
10250,Ballina (A),2012,41118,,
10250,Ballina (A),2013,41510,,
10250,Ballina (A),2014,41881,,
10250,Ballina (A),2015,42336,,
10250,Ballina (A),2016,42993,,
10250,Ballina (A),2017,43480,,
10250,Ballina (A),2018,44208,,
10300,Balranald (A),2001,2751,,
10300,Balranald (A),2002,2703,,
10300,Balranald (A),2003,2661,,
10300,Balranald (A),2004,2596,,
10300,Balranald (A),2005,2545,,
10300,Balranald (A),2006,2507,,
10300,Balranald (A),2007,2473,,
10300,Balranald (A),2008,2433,,
10300,Balranald (A),2009,2404,,
10300,Balranald (A),2010,2381,,
10300,Balranald (A),2011,2353,,
10300,Balranald (A),2012,2363,,
10300,Balranald (A),2013,2381,,
10300,Balranald (A),2014,2376,,
10300,Balranald (A),2015,2364,,
10300,Balranald (A),2016,2330,,
10300,Balranald (A),2017,2343,,
10300,Balranald (A),2018,2340,,
10470,Bathurst Regional (A),2001,35504,,
10470,Bathurst Regional (A),2002,35831,,
10470,Bathurst Regional (A),2003,36084,,
10470,Bathurst Regional (A),2004,36245,,
10470,Bathurst Regional (A),2005,36547,,
10470,Bathurst Regional (A),2006,36916,,
10470,Bathurst Regional (A),2007,37272,,
10470,Bathurst Regional (A),2008,37904,,
10470,Bathurst Regional (A),2009,38848,,
10470,Bathurst Regional (A),2010,39484,,
10470,Bathurst Regional (A),2011,39960,,
10470,Bathurst Regional (A),2012,40301,,
10470,Bathurst Regional (A),2013,40727,,
10470,Bathurst Regional (A),2014,41157,,
10470,Bathurst Regional (A),2015,41694,,
10470,Bathurst Regional (A),2016,42244,,
10470,Bathurst Regional (A),2017,42806,,
10470,Bathurst Regional (A),2018,43206,,
10500,Bayside (A),2001,129075,,
10500,Bayside (A),2002,129377,,
10500,Bayside (A),2003,130598,,
10500,Bayside (A),2004,131144,,
10500,Bayside (A),2005,132112,,
10500,Bayside (A),2006,133205,,
10500,Bayside (A),2007,135831,,
10500,Bayside (A),2008,139556,,
10500,Bayside (A),2009,142527,,
10500,Bayside (A),2010,144295,,
10500,Bayside (A),2011,144985,,
10500,Bayside (A),2012,148028,,
10500,Bayside (A),2013,151309,,
10500,Bayside (A),2014,154980,,
10500,Bayside (A),2015,159222,,
10500,Bayside (A),2016,164534,,
10500,Bayside (A),2017,170266,,
10500,Bayside (A),2018,174378,,
10550,Bega Valley (A),2001,30425,,
