LGA_2018,Region,Time,Value,X,Y
10050,Albury (C),2001,45265,,
10050,Albury (C),2002,45816,,
10050,Albury (C),2003,46180,,
10050,Albury (C),2004,46505,,
10050,Albury (C),2005,47004,,
10050,Albury (C),2006,47566,,
10050,Albury (C),2007,48140,,
10050,Albury (C),2008,48518,,
10050,Albury (C),2009,48814,,
10050,Albury (C),2010,49222,,
10050,Albury (C),2011,49451,,
10050,Albury (C),2012,49785,,
10050,Albury (C),2013,50338,,
10050,Albury (C),2014,50990,,
10050,Albury (C),2015,51486,,
10050,Albury (C),2016,52171,,
10050,Albury (C),2017,52989,,
10050,Albury (C),2018,53767,,
